"","jobpost_id","job_name","job_qty","age_min","age_max","study_field","job_qualification","min_salary","job_description","manychat_id","job_sex","study_level","work_exp","created","updated","confirmed","batch","location","utm_x","utm_y","utm_zone_number","utm_zone_letter","job_type","online"
"16",27,"ผู้จัดการ​",2,30,45,"บัญชี","ต้องมีคุณสมบัติอะไรพิเศษบ้างหรือเปล่าจ๊ะ
เช่น 
- มีใบขับขี่ไหม? 
- มีทักษะด้านภาษาใด ๆ เป็นพิเศษไหม?
- ต้องเคยผ่านการเกณฑ์ทหาร หรือพ้นภาระทางทหารแล้วหรือเปล่า?",25000,"รายละเอียดงานเป็นยังไงบ้างจ๊ะ 📃

(เนื้อหาส่วนนี้จะถูกส่งให้กับคนหางาน เพื่อพิจารณาประกอบการสมัคร)",2877994885569345,1,5,3,2020-05-29 14:21:22,2020-05-29 21:09:06,2020-05-29 14:21:22,FALSE,"คลองเตย",669464.142598149,1517189.76300664,47,"P",0,FALSE
"17",44,"Technical Lead",1,28,60,"วิศวกรรม","GoLang, ReactJS, JavaScript",0,"Responsibilities:
- Design, develop, test, deploy, maintain, and improve platform and infrastructure to serve client-side applications
- Owns a product, manage individual project priorities, deadlines, and deliverables
- Lead, mentor, and develop development resources and provide product-related directions
- Work with the executives to define software requirements and take lead on design, operations, and technical implementation
- Estimate time to accomplish programming tasks and commit to meeting all objectives
- Code review and contribute to design patterns and coding standards while being a mentor to other peers
- Participate in brainstorming sessions and contribute innovative and original ideas to company technology, algorithms, and products
- Generate wireframes, architecture design, and technical documents for projects
- Collaborate with internal and external stakeholders such as Product Manager, Business Development Manager, clients, and partners
- Creates and implement a short and long-term strategy in terms of technological growth, including identifying emerging technologies to continuously enhance current products and services

Minimum Qualifications:
- 5+ years of relevant work experience
- Able to act as a lead developer responsible for the planning, completion, and coordination of work activity for the products involving the team of developers
- Experience with one or more general programming languages (e.g. Golang, Python, Node.js, Javascript, React.js, C/C++, Java)
- Familiarity with a relevant and globally supported framework - both front-end and back-end
- Experience in building applications from scratch and decomposing applications into smaller services or modules
- Experience designing, building, and deploying scalable cloud-based solution architectures (e.g. GCP, AWS, Azure, IBM Cloud)
- Experience in building RESTful API from scratch
- Flexible and able to multitask; can work within an ambiguous, fast-moving environment, while also driving toward clarity and solutions; demonstrated resourcefulness in setting priorities
- Experience with agile software development 


Preferred qualifications:
- 2+ years of relevant experience as a team lead
Good command in English; spoken and written
- Experience with one or more of the following areas: Server Backend Distributed and Parallel Systems, Full Stack Development (frontend and backend), Scalable Enterprise Platforms and Applications, Data processing pipeline infrastructure, Blockchain Technology
- Strong fundamentals (OOP, algorithms and data structure)
- Experience in implementing testing platforms and unit tests
- Ability to design a scalable API and messaging service
Experience with basic scripting and automation tasks
- Working knowledge of using a distributed version control system within a team environment (preferably Git)

Related Technology: JavaScript, React.js, Golang, AWS (e.g. QLDB, S3), GCP, Firebase, Blockchain, Elasticsearch, Docker, SQL, Node.js, Python, Restful API",3345025382188439,3,5,6,2020-05-29 17:17:56,2020-05-29 17:17:56,2020-05-29 17:17:56,FALSE,"บรรทัดทอง",664709.144229992,1520090.79097121,47,"P",0,FALSE
"18",11,"นอนกัน",5,50,20,"นอนสบาย ๆ","-",8000,"นอนยาว ๆ",2774668809328554,1,NA,5,2020-05-29 14:21:22,2020-06-03 11:25:39,2020-05-29 14:21:22,FALSE,"บางมด",661472.502144311,1509446.15559089,47,"P",0,FALSE
"19",45,"วิศวะกร",3,22,25,"โทรคม ไฟฟ้า อิเล็กทรอนิกส์ คอมพิวเตอร์","ขับรถได้ มีใบขับขี่",15000,"ทำงานขยายสัญญาณโทรศัพท์มือถือ",3039811822706696,1,5,0,2020-05-29 19:41:41,2020-05-30 20:11:47,2020-05-29 19:41:41,FALSE,"สำนักงานใหญ่อยู่ บางบัวทอง นนทบุรี",654381.296428507,1534358.68881732,47,"P",0,FALSE
"20",46,"บาริสต้าร้านกาแฟ",3,16,40,"-","ถ้ามีประสบการณ์ทำงานในร้านกาแฟมาก่อนจะได้รับการพิจารณาเป็นพิเศษ",10000,"ทำหน้าที่ชงกาแฟ และเครื่องดื่ม ขายขนม รับเงิน เก็บเงิน เชคคลังวัตถุดิบ ทำความสะอาดตอนปิดร้านสิ้นวัน",3261159337249442,3,2,0,2020-05-29 21:50:52,2020-05-31 09:54:22,2020-05-29 21:50:52,FALSE,"ใต้อาคารสำนักงาน อาคารสรรภากรเขตวังทองหลาง  
เลขที่ 27 ซอยลาดพร้าว 124 แขวงพลับพลา เขตวังทองหลาง กทม10310",675706.023543268,1523416.13385499,47,"P",0,FALSE
"21",58,".Net Developer",1,23,35,"IT, Computer Science","C#, ASP.Net (MVC and Core), Web API, Restful API, Javascript, CSS (Bootstrap).",35000,"- Develops, modifies application software according to specifications and requirements.
- Develops application software in designated languages and tools.
- Tests and debugs the developed application software.
- Maintains the latest application software and related documents in the support library.
- Performs support and deploy application software in development, staging, and production environment.
Supports maintenance of application software in the production environment of internal clients and customers.",4002209396515640,3,5,3,2020-06-08 11:31:46,2020-06-08 11:31:46,2020-06-08 11:31:46,FALSE,"12/1 ถนนดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400",667048.745501668,1521913.73766173,47,"P",NA,NA
"22",57,"ผู้จัดการร้านค้าปลีก",2,40,50,"-","ไม่มีครับ",75000,"ครับ",3208234619238062,3,5,5,2020-06-08 10:24:14,2020-06-08 10:24:14,2020-06-08 10:24:14,FALSE,"รัตนาธิเบตร์",661411.351563955,1530798.65381307,47,"P",NA,NA
"23",48,"Admin​ Officer
งานธุรการ​ทั่วไป​

ถ้ามีประสบการณ์​ด้านบัญชีเบื้องต้นจะพิจรณาเป็นพิเศษ",1,24,35,"-","ใช้คอมพิวเตอร์​ได้คล่องแคล่ว
หากมีประสบการณ์​ด้านบัญชีเบื้องต้นจะพิจรณา​เป็นพิเศษ",12000,"งานธุรการทั่วไป
ประสานงาน
พิมพ์​รายงาน
ผู้ช่วยกรรมการผู้จัดการ
ดูแลงานด้านบุคคลและบัญชีบางส่วน",2972633659491021,2,4,0,2020-05-29 23:45:22,2020-05-31 09:12:19,2020-05-29 23:45:22,FALSE,"ซอย​ งามวงค์วาน​ 4",665310.514996455,1532407.88276144,47,"P",0,FALSE
"24",49,"Junior Engineer 
ผู้ช่วยวิศวกร คุมงานก่อสร้าง",2,22,30,"-","ผ่านเกณฑ์ทหาร
มีใบขับขี่",15000,"ดูแลและรายงานงานก่อสร้าง
ประสานงานระหว่างโครงการกับsuppliers 
ติดต่อประสานงานภายในองค์กร",3567390386621641,1,4,0,2020-05-30 00:11:00,2020-05-31 09:11:58,2020-05-30 00:11:00,FALSE,"ราษฏร์บูรณะ",663179.656487127,1511906.40250797,47,"P",0,FALSE
"25",50,"พนักงานขายเคมีอาหาร",1,25,45,"Food science","มีใบขับขี่
ภาษาอังกฤษพอได้
พ้นภาระทางการทหาร
มีประสบการณ์RD",22000,"พนักงานขายวัตถุดิบทางด้านอาหารและอาหารเสริม",3237237426314777,3,5,1,2020-05-30 00:27:49,2020-05-30 00:29:41,2020-05-30 00:27:49,FALSE,"สีลม บางรัก",665090.67901909,1517923.61943038,47,"P",0,FALSE
